id,firstName,lastName,email,phone,loyaltyTier
98,Bob,Brown,bob.brown98@example.com,864-687-2145,Gold
99,Peter,Smith,peter.smith99@domain.org,542-130-8817,Platinum
100,Eve,Black,invalid-email,471-792-1104,Bronze
101,John,Smith,john.smith101@domain.org,994-321-6153,Silver
102,Peter,Brown,peter.brown102@service.net,980-410-1940,Silver
103,Grace,Hall,grace.hall103@mail.com,490-329-2993,Platinum
104,Eve,Hall,eve.hall104@example.com,243-621-7331,Bronze
105,Peter,Doe,peter.doe105@domain.org,663-317-8905,Gold
106,Bob,King,bob.king106@example.com,820-708-1460,Gold
107,Peter,Hall,peter.hall107@example.com,311-697-1613,Gold
108,Bob,King,bob.king108@domain.org,528-370-9393,Platinum
109,Alice,White,alice.white109@example.com,468-342-7094,Bronze
110,Alice,Smith,alice.smith110@domain.org,344-381-4419,Platinum
111,Alice,Black,alice.black111@service.net,754-513-5201,Silver
112,Frank,Brown,frank.brown112@example.com,481-352-6903,Gold
113,Peter,Jones,peter.jones113@example.com,198-672-1529,Silver
114,Grace,King,grace.king114@mail.com,894-821-9492,Platinum
115,Eve,Brown,eve.brown115@domain.org,221-310-7051,Bronze
116,Grace,Smith,grace.smith116@service.net,965-133-3553,Silver
117,John,Smith,john.smith117@domain.org,882-750-3618,Silver
118,Eve,King,eve.king118@domain.org,500-839-1222,Silver
119,Frank,White,frank.white119@example.com,416-635-9329,Silver
120,John,Jones,john.jones120@domain.org,911-404-5296,Platinum
121,Alice,White,alice.white121@domain.org,851-742-2652,Bronze
122,Charlie,Black,charlie.black122@mail.com,266-834-1806,Bronze
123,Charlie,King,charlie.king123@service.net,714-721-7430,Platinum
124,Alice,Jones,alice.jones124@mail.com,847-526-5251,Platinum
125,Peter,Brown,peter.brown125@domain.org,129-491-4741,Gold
126,John,Black,john.black126@domain.org,237-340-3190,Silver
127,Peter,Brown,peter.brown127@mail.com,972-431-1206,Bronze
128,John,Jones,john.jones128@example.com,433-687-2347,Bronze
129,Jane,Brown,jane.brown129@service.net,729-212-8199,Bronze
130,Alice,Jones,alice.jones130@service.net,562-345-8970,Platinum
131,Charlie,Smith,charlie.smith131@example.com,478-134-1476,Gold
132,Peter,Green,peter.green132@service.net,211-167-6423,Bronze
133,Peter,Smith,peter.smith133@domain.org,164-149-2117,Bronze
134,Alice,Lee,alice.lee134@example.com,489-496-4906,Bronze
135,Jane,Lee,jane.lee135@domain.org,570-268-3356,Silver
136,Grace,Black,grace.black136@mail.com,528-832-3734,Silver
137,Charlie,Jones,charlie.jones137@mail.com,349-833-6888,Gold
138,Peter,Black,peter.black138@service.net,166-779-5146,Gold
139,Jane,Black,jane.black139@service.net,806-506-6208,Silver
140,Grace,Smith,grace.smith140@mail.com,806-967-2961,Platinum
141,Diana,Lee,diana.lee141@service.net,358-732-4335,Gold
142,Diana,Brown,diana.brown142@service.net,955-537-3065,Silver
143,Frank,King,frank.king143@mail.com,450-321-9561,Gold
144,Diana,Green,diana.green144@service.net,200-149-1540,Bronze
145,Eve,King,eve.king145@service.net,553-541-6511,Silver
146,Frank,Smith,frank.smith146@example.com,188-531-9534,Platinum
147,Grace,Hall,grace.hall147@domain.org,637-237-2769,Bronze
148,Jane,Green,jane.green148@mail.com,563-469-9706,Bronze
149,Frank,White,frank.white149@service.net,775-958-4771,Platinum
150,Diana,Doe,diana.doe150@service.net,,Bronze
151,John,King,john.king151@domain.org,390-945-7171,Bronze
152,Alice,Hall,alice.hall152@example.com,661-536-4806,Gold
153,Grace,Black,grace.black153@mail.com,893-466-8752,Gold
154,John,White,john.white154@mail.com,322-266-6288,Gold
155,Alice,Hall,alice.hall155@service.net,236-314-5304,Bronze
156,Bob,Lee,bob.lee156@domain.org,982-847-3084,Bronze
157,John,Doe,john.doe157@domain.org,347-478-5488,Platinum
158,Grace,Doe,grace.doe158@example.com,190-404-3617,Silver
159,Frank,King,frank.king159@service.net,975-865-1082,Bronze
160,Peter,King,peter.king160@service.net,156-965-6092,Gold
161,Jane,Lee,jane.lee161@service.net,853-641-8052,Platinum
162,Diana,Doe,diana.doe162@domain.org,123-935-7971,Platinum
163,John,Smith,john.smith163@service.net,161-286-2413,Silver
164,Frank,Hall,frank.hall164@example.com,175-139-7684,Bronze
165,Bob,Hall,bob.hall165@example.com,118-896-4575,Platinum
166,Eve,King,eve.king166@mail.com,215-604-7373,Gold
167,Alice,Jones,alice.jones167@mail.com,817-521-2136,Bronze
168,Eve,Jones,eve.jones168@service.net,877-538-8634,Gold
169,Charlie,Hall,charlie.hall169@domain.org,296-422-9826,Silver
170,Eve,Smith,eve.smith170@service.net,702-787-7462,Silver
171,Alice,Lee,alice.lee171@domain.org,415-152-9637,Platinum
172,Frank,Lee,frank.lee172@service.net,271-144-7768,Platinum
173,Frank,Lee,frank.lee173@mail.com,960-715-4232,Gold
174,Jane,Brown,jane.brown174@example.com,573-603-2632,Bronze
175,Jane,Smith,jane.smith175@mail.com,436-629-5483,Bronze
176,Peter,White,peter.white176@domain.org,843-123-9303,Platinum
177,Eve,Jones,eve.jones177@domain.org,966-527-1561,Bronze
178,Eve,Brown,eve.brown178@domain.org,715-581-4814,Bronze
179,John,Jones,john.jones179@service.net,720-792-5708,Bronze
180,Charlie,Lee,charlie.lee180@example.com,489-573-9965,Bronze
181,Jane,King,jane.king181@service.net,214-754-1125,Platinum
182,Frank,Black,frank.black182@mail.com,336-812-9634,Bronze
183,Bob,Brown,bob.brown183@mail.com,153-783-7759,Silver
184,John,Hall,john.hall184@service.net,831-808-1393,Platinum
185,Alice,Doe,alice.doe185@domain.org,233-196-9008,Platinum
186,Charlie,Hall,charlie.hall186@mail.com,911-571-7459,Gold
187,Alice,Black,alice.black187@example.com,822-331-2711,Silver
188,Peter,King,peter.king188@service.net,245-962-5385,Silver
189,Grace,Hall,grace.hall189@service.net,896-438-8499,Gold
190,Peter,King,peter.king190@mail.com,303-561-3302,Silver
191,Frank,Lee,frank.lee191@service.net,760-942-5190,Platinum
192,Eve,King,eve.king192@example.com,288-463-3294,Silver
193,Bob,Green,bob.green193@service.net,242-568-5848,Platinum
194,Grace,Black,grace.black194@domain.org,459-190-8154,Bronze
195,Frank,Brown,frank.brown195@mail.com,857-581-7364,Bronze
196,John,King,john.king196@domain.org,508-971-4844,Platinum
197,Charlie,Hall,charlie.hall197@mail.com,981-235-8795,Bronze
198,Frank,Black,frank.black198@service.net,773-379-6818,Platinum
199,Diana,Brown,diana.brown199@example.com,378-785-6730,Platinum
200,Alice,White,invalid-email,514-137-1912,UnknownTier
201,Diana,Hall,diana.hall201@example.com,295-800-6096,Bronze
202,Frank,Hall,frank.hall202@mail.com,673-839-3393,Gold
203,Grace,Smith,grace.smith203@example.com,780-341-3030,Silver
204,Diana,King,diana.king204@service.net,644-959-7972,Silver
205,John,King,john.king205@example.com,221-674-2410,Bronze
206,Alice,Smith,alice.smith206@mail.com,922-850-6920,Silver
207,Diana,Hall,diana.hall207@domain.org,335-637-8387,Silver
208,Peter,Hall,peter.hall208@service.net,208-725-4643,Platinum
209,Eve,Green,eve.green209@service.net,641-815-3181,Gold
210,Bob,Jones,bob.jones210@mail.com,140-862-7007,Bronze
211,Bob,King,bob.king211@example.com,321-322-8012,Silver
212,Frank,White,frank.white212@service.net,726-911-2463,Platinum
213,Bob,Black,bob.black213@domain.org,884-725-7305,Gold
214,Grace,Black,grace.black214@service.net,159-363-1858,Platinum
215,Diana,Jones,diana.jones215@example.com,717-835-8046,Bronze
216,John,Brown,john.brown216@service.net,970-929-7146,Bronze
217,Jane,Smith,jane.smith217@service.net,373-588-1651,Platinum
218,Bob,Jones,bob.jones218@service.net,464-170-9786,Silver
219,Diana,King,diana.king219@mail.com,113-370-9325,Bronze
220,John,Green,john.green220@mail.com,653-427-2642,Silver
221,John,Doe,john.doe221@example.com,393-983-1169,Bronze
222,Frank,Smith,frank.smith222@domain.org,692-508-6527,Platinum
223,Diana,King,diana.king223@service.net,302-863-7376,Platinum
224,Charlie,Jones,charlie.jones224@service.net,314-829-6866,Gold
225,Eve,Hall,eve.hall225@mail.com,544-322-1453,Platinum
226,Jane,White,jane.white226@domain.org,718-334-1186,Platinum
227,Bob,Brown,bob.brown227@example.com,687-802-4683,Gold
228,Alice,Hall,alice.hall228@service.net,628-544-7355,Silver
229,Frank,Brown,frank.brown229@domain.org,462-427-8603,Gold
230,John,Jones,john.jones230@example.com,338-653-8312,Silver
231,John,Smith,john.smith231@domain.org,447-558-7326,Bronze
232,Frank,Smith,frank.smith232@example.com,163-238-9491,Bronze
233,Eve,Brown,eve.brown233@mail.com,678-618-4381,Silver
234,Grace,Black,grace.black234@domain.org,803-817-2885,Bronze
235,Charlie,White,charlie.white235@domain.org,641-188-6272,Gold
236,Frank,Doe,frank.doe236@domain.org,555-491-4701,Silver
237,Jane,King,jane.king237@example.com,192-551-1966,Bronze
238,Charlie,Doe,charlie.doe238@example.com,387-736-3467,Platinum
239,John,Black,john.black239@example.com,798-142-8018,Gold
240,Grace,White,grace.white240@example.com,520-201-2744,Platinum
241,Bob,Black,bob.black241@mail.com,634-694-7259,Gold
242,Charlie,Brown,charlie.brown242@service.net,423-438-2450,Platinum
243,Grace,Doe,grace.doe243@mail.com,975-505-6871,Bronze
244,Bob,Green,bob.green244@domain.org,846-590-9248,Gold
245,Jane,Green,jane.green245@example.com,414-659-6907,Silver
246,Frank,Smith,frank.smith246@service.net,707-500-5730,Gold
247,Eve,Jones,eve.jones247@service.net,892-559-1647,Silver
248,Jane,Doe,jane.doe248@mail.com,296-473-7848,Platinum
249,Peter,Smith,peter.smith249@service.net,833-118-4382,Platinum
250,Charlie,Smith,charlie.smith250@mail.com,697-637-8287,Silver
251,Charlie,Hall,charlie.hall251@service.net,676-434-1326,Silver
252,Diana,Green,diana.green252@mail.com,383-120-5323,Silver
253,Eve,Jones,eve.jones253@service.net,226-232-6923,Platinum
254,Peter,Green,peter.green254@example.com,355-327-2632,Gold
255,Bob,Doe,bob.doe255@example.com,596-692-5225,Platinum
256,John,King,john.king256@example.com,190-666-1233,Bronze
257,Jane,Black,jane.black257@service.net,647-502-2136,Bronze
258,Diana,Smith,diana.smith258@mail.com,301-228-6740,Silver
259,Peter,Hall,peter.hall259@domain.org,660-975-8089,Silver
260,Diana,Lee,diana.lee260@domain.org,550-262-2257,Platinum
261,Bob,Brown,bob.brown261@domain.org,115-586-2668,Gold
262,Frank,Jones,frank.jones262@mail.com,264-433-9018,Gold
263,Grace,Green,grace.green263@domain.org,704-753-1635,Platinum
264,John,Brown,john.brown264@mail.com,445-351-7167,Bronze
265,Alice,King,alice.king265@service.net,102-213-3903,Silver
266,Peter,Jones,peter.jones266@service.net,151-994-9633,Silver
267,Bob,Smith,bob.smith267@service.net,748-977-6841,Gold
268,Alice,Brown,alice.brown268@service.net,816-709-5809,Platinum
269,Frank,White,frank.white269@mail.com,734-333-3964,Silver
270,Frank,Brown,frank.brown270@domain.org,773-111-3914,Gold
271,Diana,Hall,diana.hall271@mail.com,888-722-7063,Platinum
272,Charlie,Hall,charlie.hall272@service.net,578-798-8596,Gold
273,Diana,Green,diana.green273@mail.com,652-855-4028,Gold
274,Bob,Smith,bob.smith274@domain.org,411-546-7582,Platinum
275,Jane,King,jane.king275@mail.com,261-719-7320,Gold
276,Eve,Doe,eve.doe276@service.net,797-767-7100,Gold
277,Diana,Black,diana.black277@mail.com,246-125-6009,Silver
278,Jane,Brown,jane.brown278@example.com,254-851-2997,Bronze
279,Jane,Green,jane.green279@domain.org,691-214-7133,Bronze
280,Grace,Lee,grace.lee280@mail.com,218-250-4859,Gold
281,Bob,Smith,bob.smith281@mail.com,677-599-8566,Gold
282,Bob,Black,bob.black282@mail.com,735-509-7468,Gold
283,John,Jones,john.jones283@example.com,643-637-2027,Gold
284,Frank,Green,frank.green284@example.com,895-137-1333,Platinum
285,Bob,Lee,bob.lee285@domain.org,775-317-9907,Platinum
286,John,Brown,john.brown286@mail.com,295-134-1034,Gold
287,Bob,Lee,bob.lee287@example.com,875-784-6271,Bronze
288,Jane,Lee,jane.lee288@example.com,984-617-3264,Gold
289,Frank,Hall,frank.hall289@mail.com,892-970-6927,Platinum
290,Jane,Jones,jane.jones290@example.com,421-967-2646,Silver
291,Bob,White,bob.white291@mail.com,697-550-3371,Silver
292,Bob,Black,bob.black292@service.net,442-624-6540,Bronze
293,Frank,Green,frank.green293@example.com,135-487-3042,Gold
294,Peter,White,peter.white294@example.com,445-964-6531,Silver
295,Eve,Black,eve.black295@mail.com,628-547-1290,Silver
296,John,Jones,john.jones296@example.com,506-352-5521,Platinum
297,Diana,Brown,diana.brown297@mail.com,366-519-6940,Gold
298,Eve,King,eve.king298@example.com,221-769-3882,Silver
299,Charlie,Black,charlie.black299@service.net,293-722-4676,Gold
300,Grace,Green,invalid-email,,Gold
301,Frank,Brown,frank.brown301@domain.org,546-314-5218,Gold
302,Bob,Black,bob.black302@service.net,241-535-2419,Silver
303,Eve,Black,eve.black303@service.net,715-335-1640,Gold
304,Jane,Smith,jane.smith304@mail.com,376-952-9075,Platinum
305,Eve,Green,eve.green305@domain.org,122-144-9587,Bronze
306,Peter,Black,peter.black306@mail.com,258-654-4290,Bronze
307,Bob,Green,bob.green307@service.net,818-307-6240,Silver
308,Eve,Hall,eve.hall308@service.net,422-441-1528,Bronze
309,Grace,Smith,grace.smith309@mail.com,995-279-6376,Platinum
310,Frank,Black,frank.black310@mail.com,990-811-3970,Bronze
311,Jane,Brown,jane.brown311@mail.com,346-569-6982,Silver
312,Charlie,Green,charlie.green312@service.net,121-437-1457,Silver
313,Alice,Jones,alice.jones313@domain.org,224-890-5129,Gold
314,Charlie,Black,charlie.black314@example.com,936-762-6703,Silver
315,Jane,Jones,jane.jones315@example.com,931-957-3231,Silver
316,Bob,Doe,bob.doe316@mail.com,450-716-9162,Silver
317,Diana,Doe,diana.doe317@service.net,251-926-6178,Silver
318,Grace,Lee,grace.lee318@mail.com,597-904-8150,Silver
319,Charlie,Green,charlie.green319@example.com,636-997-8038,Gold
320,Alice,Green,alice.green320@service.net,964-900-3643,Silver
321,Charlie,Smith,charlie.smith321@service.net,571-393-9173,Gold
322,Alice,Jones,alice.jones322@example.com,501-880-5447,Gold
323,John,Green,john.green323@domain.org,202-798-4167,Silver
324,Bob,Brown,bob.brown324@service.net,495-227-1656,Platinum
325,Grace,Black,grace.black325@mail.com,991-866-9341,Platinum
326,John,White,john.white326@service.net,140-974-9543,Silver
327,Jane,White,jane.white327@domain.org,336-862-5406,Silver
328,Alice,Black,alice.black328@domain.org,930-673-3933,Gold
329,Alice,Smith,alice.smith329@service.net,209-694-6072,Gold
330,Diana,Jones,diana.jones330@domain.org,943-965-6569,Gold
331,Jane,King,jane.king331@service.net,325-151-8586,Silver
332,Jane,Hall,jane.hall332@example.com,199-295-1126,Platinum
333,Charlie,Jones,charlie.jones333@mail.com,208-524-6386,Platinum
334,Eve,Smith,eve.smith334@mail.com,968-552-6786,Bronze
335,Frank,King,frank.king335@service.net,320-577-3838,Platinum
336,Bob,Green,bob.green336@mail.com,164-147-3447,Platinum
337,Grace,Doe,grace.doe337@domain.org,110-210-9442,Bronze
338,Charlie,White,charlie.white338@service.net,747-784-4946,Silver
339,Diana,Green,diana.green339@mail.com,349-937-7260,Silver
340,Eve,White,eve.white340@service.net,341-827-7797,Silver
341,John,Hall,john.hall341@mail.com,991-299-6925,Gold
342,Alice,King,alice.king342@mail.com,285-595-1043,Platinum
343,Diana,Hall,diana.hall343@service.net,156-906-9674,Silver
344,John,Lee,john.lee344@domain.org,989-631-1116,Gold
345,Jane,Green,jane.green345@service.net,916-268-7735,Gold
346,Bob,Jones,bob.jones346@mail.com,904-867-4576,Silver
347,Jane,Hall,jane.hall347@example.com,354-634-4154,Bronze
348,Frank,Doe,frank.doe348@service.net,119-718-3440,Bronze
349,Diana,Jones,diana.jones349@domain.org,131-502-9220,Platinum
350,Eve,King,eve.king350@example.com,909-618-4861,Bronze
351,Frank,Green,frank.green351@domain.org,377-186-6797,Platinum
352,Bob,Smith,bob.smith352@example.com,334-511-6346,Silver
353,Diana,Green,diana.green353@mail.com,183-895-9427,Bronze
354,Charlie,Doe,charlie.doe354@example.com,407-744-1125,Platinum
355,Alice,Jones,alice.jones355@service.net,300-410-9946,Silver
356,Bob,Doe,bob.doe356@example.com,319-264-4628,Bronze
357,Charlie,Green,charlie.green357@example.com,259-909-4604,Silver
358,Alice,Lee,alice.lee358@mail.com,312-545-5138,Platinum
359,Peter,Hall,peter.hall359@service.net,177-541-2507,Bronze
360,Charlie,Brown,charlie.brown360@mail.com,151-424-8179,Platinum
361,Diana,Smith,diana.smith361@example.com,607-230-9706,Bronze
362,Jane,Doe,jane.doe362@mail.com,402-376-4870,Platinum
363,Frank,Green,frank.green363@example.com,208-798-3129,Bronze
364,Jane,Smith,jane.smith364@domain.org,444-320-6913,Platinum
365,Eve,Jones,eve.jones365@example.com,857-475-6364,Platinum
366,Eve,Lee,eve.lee366@mail.com,218-253-7656,Platinum
367,Peter,Doe,peter.doe367@service.net,988-175-1342,Platinum
368,Grace,Hall,grace.hall368@example.com,792-162-5670,Silver
369,Grace,Brown,grace.brown369@domain.org,201-275-9818,Silver
370,Peter,Hall,peter.hall370@example.com,750-506-9839,Bronze
371,Diana,Black,diana.black371@mail.com,598-498-5820,Platinum
372,Frank,Smith,frank.smith372@mail.com,247-964-4618,Gold
373,Diana,King,diana.king373@mail.com,152-901-5302,Bronze
374,Jane,Brown,jane.brown374@example.com,690-762-7535,Platinum
375,Eve,Brown,eve.brown375@example.com,757-688-2312,Gold
376,Alice,King,alice.king376@service.net,448-928-7694,Platinum
377,Jane,Hall,jane.hall377@service.net,479-705-6862,Gold
378,Charlie,Smith,charlie.smith378@example.com,683-778-2915,Bronze
379,Alice,Doe,alice.doe379@example.com,302-164-8500,Bronze
380,Frank,Lee,frank.lee380@mail.com,882-814-8855,Platinum
381,John,Brown,john.brown381@mail.com,956-251-9343,Platinum
382,Jane,Smith,jane.smith382@example.com,378-650-1950,Silver
383,Frank,Hall,frank.hall383@service.net,206-731-8705,Gold
384,Frank,Lee,frank.lee384@service.net,230-795-8849,Bronze
385,Bob,Jones,bob.jones385@domain.org,317-171-4806,Silver
386,John,Black,john.black386@domain.org,554-828-2166,Bronze
387,John,White,john.white387@service.net,957-122-2077,Gold
388,Grace,Brown,grace.brown388@mail.com,862-381-1332,Platinum
389,John,Hall,john.hall389@example.com,577-644-8460,Silver
390,Frank,White,frank.white390@mail.com,684-274-8300,Platinum
391,Alice,King,alice.king391@domain.org,340-910-7562,Bronze
392,Frank,Jones,frank.jones392@service.net,231-284-8703,Bronze
393,Alice,Hall,alice.hall393@mail.com,799-487-1054,Platinum
394,Jane,Hall,jane.hall394@service.net,857-466-8102,Bronze
395,Grace,Brown,grace.brown395@example.com,410-687-7779,Platinum
396,Diana,Hall,diana.hall396@mail.com,738-208-5738,Bronze
397,Eve,Black,eve.black397@domain.org,342-491-6556,Platinum
398,Charlie,Smith,charlie.smith398@domain.org,903-169-3344,Silver
399,Peter,White,peter.white399@mail.com,236-722-6830,Gold
400,Frank,Black,invalid-email,439-991-5404,UnknownTier
401,John,Doe,john.doe401@domain.org,766-144-8369,Silver
402,Grace,Jones,grace.jones402@example.com,456-510-7557,Bronze
403,Frank,Doe,frank.doe403@example.com,917-422-5685,Platinum
404,Jane,Hall,jane.hall404@domain.org,369-405-2565,Gold
405,Eve,White,eve.white405@service.net,903-771-4692,Bronze
406,Charlie,Black,charlie.black406@mail.com,452-826-3638,Platinum
407,Diana,King,diana.king407@service.net,314-161-8283,Gold
408,Diana,Smith,diana.smith408@domain.org,905-389-7398,Silver
409,Jane,Smith,jane.smith409@mail.com,242-703-8995,Silver
410,Grace,Doe,grace.doe410@service.net,915-805-8625,Bronze
411,Grace,Doe,grace.doe411@domain.org,338-382-3849,Silver
412,Bob,Brown,bob.brown412@service.net,777-271-7415,Gold
413,Eve,Smith,eve.smith413@mail.com,318-240-7764,Silver
414,Bob,Jones,bob.jones414@mail.com,613-808-5132,Gold
415,Charlie,Lee,charlie.lee415@service.net,829-800-6409,Platinum
416,Diana,Lee,diana.lee416@example.com,354-763-8525,Silver
417,Frank,Doe,frank.doe417@example.com,451-450-7997,Platinum
418,John,Black,john.black418@service.net,697-743-9372,Gold
419,Peter,Hall,peter.hall419@mail.com,308-356-9798,Bronze
420,Diana,Lee,diana.lee420@mail.com,551-103-7019,Bronze
421,Diana,Lee,diana.lee421@example.com,352-738-7144,Silver
422,Peter,Doe,peter.doe422@service.net,891-252-7962,Gold
423,Charlie,Hall,charlie.hall423@domain.org,175-239-8414,Bronze
424,Bob,King,bob.king424@mail.com,218-630-8694,Platinum
425,Frank,Doe,frank.doe425@service.net,698-137-3621,Gold
426,Jane,Green,jane.green426@mail.com,210-772-4425,Bronze
427,Peter,Black,peter.black427@example.com,584-846-4087,Bronze
428,John,Smith,john.smith428@example.com,153-801-7917,Platinum
429,Bob,Smith,bob.smith429@example.com,685-428-6657,Platinum
430,Peter,Green,peter.green430@mail.com,312-890-3721,Gold
431,Eve,Smith,eve.smith431@service.net,493-591-7507,Gold
432,Diana,King,diana.king432@example.com,807-541-7556,Platinum
433,Charlie,Hall,charlie.hall433@service.net,601-330-7796,Gold
434,John,Lee,john.lee434@service.net,913-523-8892,Gold
435,Grace,King,grace.king435@service.net,885-777-5182,Gold
436,Grace,Smith,grace.smith436@domain.org,230-473-5750,Platinum
437,Jane,Doe,jane.doe437@example.com,950-455-2389,Platinum
438,Charlie,Black,charlie.black438@domain.org,344-826-8113,Bronze
